Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM
13677L.lvm,1.54167,2.1504325,5.39328833,0.25438833,0.16362667,0,0.00073386,0.00052188,0.00052188,0.00066013
13677R.lvm,1.48031,2.2235874,5.319912,0.28379,0.13806,0,0.00088063,0.00084021,0,0
13678L.lvm,1.43010636,2.26261309,5.25255545,0.25032091,0.18617182,0.00075104,0.0005938,0.00055528,0.00017166,0.00015892
13678R.lvm,1.343784,2.4052688,5.267756,0.233168,0.134992,0.00068603,0.00071903,0.00068603,0.00084021,0.00084021
13679L.lvm,1.58641167,2.17053,5.40735,0.24544,0.19047167,0.00052188,0,0,0,0.00052188
13679R.lvm,1.44196,2.37686433,5.39030556,0.23777,0.10652778,0.00042611,0.00044661,0.00037579,0,0.00028407
13680L.lvm,1.43333125,2.28609062,5.34886625,0.233935,0.16778125,0.0008001,0.00092059,0.0004962,0.00051247,0.00033897
13680R.lvm,1.33372778,2.395622,5.34684222,0.23095222,0.16447889,0.00028407,0,0.00028407,0.00028407,0.00044916
13681L.lvm,1.50332,2.130335,5.30764,0.231634,0.179478,0,0,0,0.00068603,0.00084021
13681R.lvm,1.44835167,2.1825885,5.31403167,0.24288333,0.19814167,0.00096229,0.00073386,0.00096229,0.00066013,0.00052188
13682L.lvm,1.54934,2.242881,5.27056833,0.24416167,0.16362667,0,0,0.00052188,0.00052188,0.00066013
13682R.lvm,1.56232,2.23793392,5.24392,0.24426,0.14927,0.00055893,0.00073769,0.00037195,0.00022156,0.00045799
13683L.lvm,1.37932167,2.37284483,5.18364167,0.25055333,0.12527667,0.00052188,0.00054698,0.00052188,0.00066013,0.00066013
13683R.lvm,1.41639333,2.39428217,5.12611667,0.18919333,0.13039,0.00066013,0.00054698,0.00066013,0.00066013,0
13684L.lvm,1.64277455,2.12521927,5.43663545,0.24125636,0.18268545,0.00068448,0.00036872,0.00028206,0.00036414,0.00081424
13684R.lvm,1.52121667,2.26431833,5.39073167,0.25311,0.20581167,0.00066013,0.00069189,0.00052188,0,0.00052188
13685L.lvm,1.4131975,2.371505,5.2597025,0.2396875,0.1629875,0.00095875,0.00164095,0.00095875,0.00095875,0.00095875
13685R.lvm,1.47391833,2.29245483,5.296135,0.24416167,0.18408,0.00052188,0.00054698,0.00070017,0.00052188,0
13686L.lvm,1.56468,2.30374771,5.48514571,0.26845,0.19503714,0.00063261,0.00061386,0.00041414,0,0.00058568
13686R.lvm,1.596894,2.2734292,5.471778,0.24544,0.177944,0.00068603,0.00071903,0.00084021,0,0.00068603
13687L.lvm,1.489514,2.3055852,5.379738,0.282256,0.136526,0.00068603,0.00071903,0.00084021,0.00068603,0.00068603
13687R.lvm,1.383668,2.451895,5.390476,0.240838,0.096642,0.00084021,0,0.00068603,0.00084021,0.00084021
13688L.lvm,1.440426,2.2147445,5.056831,0.26078,0.125021,0.00048509,0.00086831,0.00081252,0,0.00072764
13688R.lvm,1.44196,2.25551371,5.10493286,0.26845,0.10518857,0.00089465,0.00061386,0.00058568,0,0.00053465
13689L.lvm,1.40251429,2.26010743,5.15424,0.23667429,0.17969714,0.00041414,0.00043407,0,0.00041414,0.0008621
13689R.lvm,1.44853429,2.20727971,5.10055,0.28159857,0.17969714,0.00075611,0.00090358,0,0.00053465,0.00058568
